iter	Passed	Remaining
738	1249	441
739	1250	439
740	1251	437
741	1251	435
742	1252	433
743	1253	431
744	1254	429
745	1254	427
746	1255	425
747	1256	423
748	1256	421
749	1257	419
750	1258	417
751	1259	415
752	1259	413
753	1260	411
754	1261	409
755	1261	407
756	1262	405
757	1263	403
758	1264	401
759	1264	399
760	1265	397
761	1266	395
762	1267	393
763	1268	391
764	1269	389
765	1270	388
766	1270	386
767	1271	384
768	1272	382
769	1273	380
770	1274	378
771	1275	376
772	1275	374
773	1276	372
774	1277	370
775	1278	368
776	1278	367
777	1279	365
778	1280	363
779	1281	361
780	1282	359
781	1282	357
782	1283	355
783	1284	353
784	1285	352
785	1286	350
786	1286	348
787	1287	346
788	1288	344
789	1289	342
790	1290	340
791	1290	339
792	1291	337
793	1292	335
794	1292	333
795	1293	331
796	1294	329
797	1295	327
798	1296	326
799	1297	324
800	1297	322
801	1298	320
802	1299	318
803	1300	316
804	1300	315
805	1301	313
806	1302	311
807	1303	309
808	1303	307
809	1304	306
810	1305	304
811	1306	302
812	1307	300
813	1308	298
814	1308	297
815	1309	295
816	1310	293
817	1311	291
818	1312	290
819	1313	288
820	1314	286
821	1315	284
822	1316	283
823	1317	281
824	1318	279
825	1319	277
826	1319	276
827	1320	274
828	1321	272
829	1322	270
830	1323	269
831	1324	267
832	1325	265
833	1326	264
834	1327	262
835	1328	260
836	1328	258
837	1329	257
838	1330	255
839	1331	253
840	1332	251
841	1333	250
842	1333	248
843	1334	246
844	1335	244
845	1336	243
846	1337	241
847	1338	239
848	1339	238
849	1339	236
850	1340	234
851	1341	233
852	1342	231
853	1343	229
854	1344	227
855	1345	226
856	1345	224
857	1346	222
858	1347	221
859	1348	219
860	1349	217
861	1349	216
862	1350	214
863	1351	212
864	1352	211
865	1353	209
866	1353	207
867	1354	205
868	1355	204
869	1355	202
870	1356	200
871	1357	199
872	1358	197
873	1359	195
874	1360	194
875	1360	192
876	1361	191
877	1362	189
878	1363	187
879	1364	186
880	1365	184
881	1366	182
882	1367	181
883	1367	179
884	1368	177
885	1369	176
886	1370	174
887	1371	172
888	1372	171
889	1373	169
890	1374	168
891	1374	166
892	1375	164
893	1376	163
894	1377	161
895	1378	159
896	1378	158
897	1379	156
898	1380	155
899	1381	153
900	1382	151
901	1383	150
902	1384	148
903	1385	147
904	1386	145
905	1387	143
906	1388	142
907	1389	140
908	1389	139
909	1390	137
910	1391	135
911	1392	134
912	1393	132
913	1394	131
914	1394	129
915	1395	127
916	1396	126
917	1397	124
918	1397	123
919	1398	121
920	1399	120
921	1400	118
922	1401	116
923	1402	115
924	1402	113
925	1403	112
926	1404	110
927	1405	109
928	1406	107
929	1407	105
930	1408	104
931	1409	102
932	1410	101
933	1410	99
934	1411	98
935	1412	96
936	1413	95
937	1414	93
938	1414	91
939	1415	90
940	1416	88
941	1417	87
942	1418	85
943	1418	84
944	1419	82
945	1420	81
946	1421	79
947	1422	78
948	1422	76
949	1423	74
950	1424	73
951	1425	71
952	1426	70
953	1426	68
954	1427	67
955	1428	65
956	1429	64
957	1429	62
958	1430	61
959	1431	59
960	1432	58
961	1432	56
962	1433	55
963	1433	53
964	1434	52
965	1435	50
966	1436	49
967	1437	47
968	1437	45
969	1438	44
970	1439	43
971	1440	41
972	1441	39
973	1441	38
974	1442	36
975	1442	35
976	1443	33
977	1444	32
978	1445	30
979	1445	29
980	1446	28
981	1447	26
982	1448	25
983	1449	23
984	1450	22
985	1451	20
986	1451	19
987	1452	17
988	1454	16
989	1455	14
990	1456	13
991	1457	11
992	1458	10
993	1459	8
994	1460	7
995	1461	5
996	1462	4
997	1463	2
998	1464	1
999	1465	0
